"","Codes","Description","unit","Periodicity","start","last value","source"
"121","1810"," Fatores condicionantes da base monet?ria - Tesouro Nacional - Conta ?nica (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1986"," mar/2016"," BCB-Depec"
"122","1811"," Fatores condicionantes da base monet?ria - Opera??es com o setor externo (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1986"," mar/2016"," BCB-Depec"
"123","1812"," Fatores condicionantes da base monet?ria - Assist?ncia financeira de liquidez (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1986"," jan/2000"," BCB-Depec"
"124","1813"," Fatores condicionantes da base monet?ria - Proer (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 30/11/1995"," dez/1998"," BCB-Depec"
"125","1814"," Fatores condicionantes da base monet?ria - Proes (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 30/04/1997"," jun/2000"," BCB-Depec"
"126","1815"," Fatores condicionantes da base monet?ria - Dep?sitos de institui??es financeiras (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1986"," mar/2016"," BCB-Depec"
"127","1816"," Fatores condicionantes da base monet?ria - Dep?sitos de fundos de investimentos (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/03/1991"," ago/1999"," BCB-Depec"
"128","1818"," Fatores condicionantes da base monet?ria - Autoridade Monet?ria - Outras opera??es (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1986"," mar/2016"," BCB-Depec"
"129","1819"," Meios de pagamento - Papel moeda em poder do p?blico (saldo di?rio)"," u.m.c. (mil)"," D"," 04/02/1991"," 31/03/2016"," BCB-Depec"
"130","1820"," Meios de pagamento - Dep?sitos ? vista (saldo di?rio)"," u.m.c. (mil)"," D"," 04/02/1991"," 31/03/2016"," BCB-Depec"
"131","1821"," Meios de pagamento - M1 (saldo di?rio)"," u.m.c. (mil)"," D"," 04/02/1991"," 31/03/2016"," BCB-Depec"
"132","1822"," Meios de pagamento - Papel moeda em poder do p?blico (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 31/01/1980"," mar/2016"," BCB-Depec"
"133","1823"," Meios de pagamento - Dep?sitos ? vista (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 31/01/1980"," mar/2016"," BCB-Depec"
"134","1824"," Meios de pagamento - M1 (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 31/01/1980"," mar/2016"," BCB-Depec"
"135","1825"," Meios de pagamento - Papel moeda em poder do p?blico (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1980"," mar/2016"," BCB-Depec"
"136","1826"," Meios de pagamento - Dep?sitos ? vista (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1980"," mar/2016"," BCB-Depec"
