"","data","valor","serie"
"443","1/4/1996","1491.42","326"
"444","8/4/1996","2279.52","326"
"445","15/4/1996","2568.21","326"
"446","22/4/1996","2609.35","326"
"447","29/4/1996","2629.25","326"
"448","6/5/1996","452.43","326"
"449","13/5/1996","841.57","326"
"450","20/5/1996","438.00","326"
"451","27/5/1996","435.08","326"
"452","3/6/1996","404.76","326"
"453","10/6/1996","431.40","326"
"454","17/6/1996","463.03","326"
"455","24/6/1996","477.14","326"
"456","1/7/1996","472.65","326"
"457","8/7/1996","470.36","326"
"458","15/7/1996","481.45","326"
"459","22/7/1996","483.55","326"
"460","29/7/1996","2735.66","326"
"461","5/8/1996","11768.72","326"
"462","12/8/1996","11942.25","326"
"463","19/8/1996","12123.92","326"
"464","26/8/1996","12176.21","326"
"465","2/9/1996","10371.04","326"
"466","9/9/1996","10416.84","326"
"467","16/9/1996","10462.07","326"
"468","23/9/1996","10506.16","326"
"469","30/9/1996","5642.49","326"
"470","7/10/1996","911.30","326"
"471","14/10/1996","823.67","326"
"472","21/10/1996","919.71","326"
"473","28/10/1996","923.57","326"
"474","4/11/1996","919.46","326"
"475","11/11/1996","821.50","326"
"476","18/11/1996","557.10","326"
"477","25/11/1996","576.16","326"
"478","2/12/1996","578.84","326"
"479","9/12/1996","581.56","326"
"480","16/12/1996","732.26","326"
"481","23/12/1996","757.13","326"
"482","30/12/1996","759.76","326"
"483","6/1/1997","762.72","326"
"484","13/1/1997","765.55","326"
"485","20/1/1997","768.80","326"
"486","27/1/1997","772.23","326"
"487","3/2/1997","775.72","326"
"488","10/2/1997","778.55","326"
"489","17/2/1997","2387.09","326"
"490","24/2/1997","2799.53","326"
"491","3/3/1997","2811.98","326"
"492","10/3/1997","2824.25","326"
"493","17/3/1997","1891.45","326"
"494","24/3/1997","586.52","326"
"495","31/3/1997","588.58","326"
"496","7/4/1997","591.10","326"
"497","14/4/1997","593.59","326"
"498","21/4/1997","595.62","326"
"499","28/4/1997","597.63","326"
"500","5/5/1997","599.39","326"
"501","12/5/1997","601.92","326"
"502","19/5/1997","604.46","326"
"503","26/5/1997","606.75","326"
"504","2/6/1997","609.05","326"
"505","9/6/1997","611.62","326"
"506","16/6/1997","614.18","326"
"507","23/6/1997","616.66","326"
"508","30/6/1997","619.13","326"
"509","7/7/1997","621.59","326"
"510","14/7/1997","677.98","326"
"511","21/7/1997","693.62","326"
"512","28/7/1997","696.38","326"
"513","4/8/1997","699.15","326"
"514","11/8/1997","701.93","326"
"515","18/8/1997","704.73","326"
"516","25/8/1997","707.57","326"
"517","1/9/1997","710.42","326"
"518","8/9/1997","713.29","326"
"519","15/9/1997","890.29","326"
"520","22/9/1997","992.19","326"
"521","29/9/1997","994.30","326"
"522","6/10/1997","996.93","326"
"523","13/10/1997","1000.88","326"
"524","20/10/1997","1005.51","326"
"525","27/10/1997","1009.31","326"
"526","3/11/1997","1013.01","326"
"527","10/11/1997","1018.03","326"
"528","17/11/1997","768.72","326"
"529","24/11/1997","773.43","326"
"530","1/12/1997","0.00","326"
"531","8/12/1997","0.00","326"
"532","15/12/1997","0.00","326"
"533","22/12/1997","0.00","326"
"534","29/12/1997","0.00","326"
"535","5/1/1998","0.00","326"
"536","12/1/1998","0.00","326"
"537","19/1/1998","0.00","326"
"538","26/1/1998","0.00","326"
"539","2/2/1998","0.00","326"
"540","9/2/1998","0.00","326"
"541","16/2/1998","0.00","326"
"542","23/2/1998","0.00","326"
"543","2/3/1998","0.00","326"
"544","9/3/1998","0.00","326"
"545","16/3/1998","0.00","326"
"546","23/3/1998","0.00","326"
"547","30/3/1998","0.00","326"
"548","6/4/1998","0.00","326"
"549","13/4/1998","0.00","326"
"550","20/4/1998","0.00","326"
"551","27/4/1998","0.00","326"
"552","4/5/1998","0.00","326"
"553","11/5/1998","0.00","326"
"554","18/5/1998","0.00","326"
"555","25/5/1998","0.00","326"
"556","1/6/1998","0.00","326"
"557","8/6/1998","0.00","326"
"558","15/6/1998","0.00","326"
"559","22/6/1998","0.00","326"
"560","29/6/1998","270.41","326"
"561","6/7/1998","400.00","326"
"562","13/7/1998","2004.96","326"
"563","20/7/1998","2012.48","326"
"564","27/7/1998","2019.90","326"
"565","3/8/1998","2027.16","326"
"566","10/8/1998","2834.70","326"
"567","17/8/1998","4047.91","326"
"568","24/8/1998","4062.63","326"
"569","31/8/1998","4077.27","326"
"570","7/9/1998","4050.66","326"
"571","14/9/1998","3945.79","326"
"572","21/9/1998","3968.85","326"
"573","28/9/1998","3992.05","326"
"574","5/10/1998","4015.38","326"
"575","12/10/1998","4036.49","326"
"576","19/10/1998","4057.71","326"
"577","26/10/1998","4081.43","326"
"578","2/11/1998","4102.89","326"
"579","9/11/1998","4124.46","326"
"580","16/11/1998","4148.57","326"
"581","23/11/1998","4172.81","326"
"582","30/11/1998","4197.20","326"
"583","7/12/1998","4221.73","326"
"584","14/12/1998","4246.40","326"
"585","21/12/1998","4268.73","326"
"586","28/12/1998","4288.67","326"
"587","4/1/1999","4311.22","326"
"588","11/1/1999","4336.42","326"
"589","18/1/1999","4361.76","326"
"590","25/1/1999","4374.04","326"
"591","1/2/1999","4332.01","326"
"592","8/2/1999","4347.90","326"
"593","15/2/1999","4371.53","326"
"594","22/2/1999","4395.30","326"
"595","1/3/1999","4423.02","326"
"596","8/3/1999","4439.28","326"
"597","15/3/1999","4470.34","326"
"598","22/3/1999","4501.62","326"
"599","29/3/1999","4533.06","326"
"600","5/4/1999","4558.11","326"
"601","12/4/1999","4599.56","326"
"602","19/4/1999","4660.28","326"
"603","26/4/1999","4686.23","326"
"604","3/5/1999","4715.23","326"
"605","10/5/1999","4744.94","326"
"606","17/5/1999","4792.09","326"
"607","24/5/1999","4820.55","326"
"608","31/5/1999","4845.41","326"
"609","7/6/1999","4870.40","326"
"610","14/6/1999","4898.32","326"
"611","21/6/1999","4926.39","326"
"612","28/6/1999","4954.63","326"
"613","5/7/1999","2437.17","326"
"614","12/7/1999","2455.98","326"
"615","19/7/1999","2469.58","326"
"616","26/7/1999","2481.83","326"
"617","28/8/1995","0.00","327"
"618","4/9/1995","0.00","327"
"619","11/9/1995","0.00","327"
"620","18/9/1995","0.00","327"
"621","25/9/1995","0.00","327"
"622","2/10/1995","0.00","327"
"623","9/10/1995","0.00","327"
"624","16/10/1995","0.00","327"
"625","23/10/1995","0.00","327"
"626","30/10/1995","0.00","327"
"627","6/11/1995","0.00","327"
"628","13/11/1995","0.00","327"
"629","20/11/1995","0.00","327"
"630","27/11/1995","0.00","327"
"631","4/12/1995","0.00","327"
"632","11/12/1995","0.00","327"
"633","18/12/1995","0.00","327"
"634","25/12/1995","0.00","327"
"635","1/1/1996","0.00","327"
"636","8/1/1996","0.00","327"
"637","15/1/1996","0.00","327"
"638","22/1/1996","0.00","327"
"639","29/1/1996","0.00","327"
"640","5/2/1996","0.00","327"
"641","12/2/1996","0.00","327"
"642","19/2/1996","0.00","327"
"643","26/2/1996","0.00","327"
"644","4/3/1996","0.00","327"
"645","11/3/1996","0.00","327"
"646","18/3/1996","0.00","327"
"647","25/3/1996","0.00","327"
"648","1/4/1996","0.00","327"
"649","8/4/1996","0.00","327"
"650","15/4/1996","0.00","327"
"651","22/4/1996","0.00","327"
"652","29/4/1996","0.00","327"
"653","6/5/1996","0.00","327"
"654","13/5/1996","0.00","327"
"655","20/5/1996","0.00","327"
"656","27/5/1996","0.00","327"
"657","3/6/1996","0.00","327"
"658","10/6/1996","0.00","327"
"659","17/6/1996","0.00","327"
"660","24/6/1996","0.00","327"
"661","1/7/1996","0.00","327"
"662","8/7/1996","0.00","327"
"663","15/7/1996","0.00","327"
"664","22/7/1996","0.00","327"
"665","29/7/1996","0.00","327"
"666","5/8/1996","0.00","327"
"667","12/8/1996","0.00","327"
"668","19/8/1996","0.00","327"
"669","26/8/1996","0.00","327"
"670","2/9/1996","0.00","327"
"671","9/9/1996","0.00","327"
"672","16/9/1996","0.00","327"
"673","23/9/1996","0.00","327"
"674","30/9/1996","0.00","327"
"675","7/10/1996","0.00","327"
"676","14/10/1996","0.00","327"
"677","21/10/1996","0.00","327"
"678","28/10/1996","0.00","327"
"679","4/11/1996","0.00","327"
"680","11/11/1996","0.00","327"
"681","18/11/1996","0.00","327"
"682","25/11/1996","0.00","327"
"683","2/12/1996","0.00","327"
"684","9/12/1996","0.00","327"
"685","16/12/1996","0.00","327"
"686","23/12/1996","0.00","327"
"687","30/12/1996","0.00","327"
"688","6/1/1997","0.00","327"
"689","13/1/1997","0.00","327"
"690","20/1/1997","0.00","327"
"691","27/1/1997","0.00","327"
"692","3/2/1997","0.00","327"
"693","10/2/1997","0.00","327"
"694","17/2/1997","0.00","327"
"695","24/2/1997","0.00","327"
"696","3/3/1997","0.00","327"
"697","10/3/1997","0.00","327"
"698","17/3/1997","0.00","327"
"699","24/3/1997","0.00","327"
"700","31/3/1997","0.00","327"
"701","7/4/1997","0.00","327"
"702","14/4/1997","0.00","327"
"703","21/4/1997","0.00","327"
"704","28/4/1997","0.00","327"
"705","5/5/1997","0.00","327"
"706","12/5/1997","0.00","327"
"707","19/5/1997","0.00","327"
"708","26/5/1997","0.00","327"
"709","2/6/1997","0.00","327"
"710","9/6/1997","0.00","327"
"711","16/6/1997","0.00","327"
"712","23/6/1997","0.00","327"
"713","30/6/1997","0.00","327"
"714","7/7/1997","0.00","327"
"715","14/7/1997","0.00","327"
"716","21/7/1997","0.00","327"
"717","28/7/1997","0.00","327"
"718","4/8/1997","0.00","327"
"719","11/8/1997","0.00","327"
"720","18/8/1997","0.00","327"
"721","25/8/1997","59.81","327"
"722","1/9/1997","98.55","327"
"723","8/9/1997","98.04","327"
"724","15/9/1997","99.21","327"
"725","22/9/1997","52.12","327"
"726","29/9/1997","0.00","327"
"727","6/10/1997","0.00","327"
"728","13/10/1997","0.00","327"
"729","20/10/1997","0.00","327"
"730","27/10/1997","0.00","327"
"731","3/11/1997","0.00","327"
"732","10/11/1997","0.00","327"
"733","17/11/1997","0.00","327"
"734","24/11/1997","0.00","327"
"735","1/12/1997","0.00","327"
"736","8/12/1997","0.00","327"
"737","15/12/1997","0.00","327"
"738","22/12/1997","0.00","327"
"739","29/12/1997","0.00","327"
"740","5/1/1998","0.00","327"
"741","12/1/1998","0.00","327"
"742","19/1/1998","0.00","327"
"743","26/1/1998","0.00","327"
"744","2/2/1998","0.00","327"
